Table,NAME,FMTName,Type,Value,Label,Flat,Metro
AHS2015,ADEQUACY,ADEQUACY,C,3,Severely inadequate,YES,YES
AHS2015,ARTACCESS,ARTACCESS,C,1,Yes,YES,YES
AHS2015,ARTACCESS,ARTACCESS,C,2,No,YES,YES
AHS2015,ARTACCESS,ARTACCESS,C,M,Not reported,YES,YES
AHS2015,ARTACCESS,ARTACCESS,C,N,Not applicable,YES,YES
AHS2015,ARTATTRACT,ARTATTRACT,C,1,Agree,YES,YES
AHS2015,ARTATTRACT,ARTATTRACT,C,2,Disagree,YES,YES
AHS2015,ARTATTRACT,ARTATTRACT,C,M,Not reported,YES,YES
AHS2015,ARTATTRACT,ARTATTRACT,C,N,Not applicable,YES,YES
AHS2015,ARTAWARE,ARTAWARE,C,1,Agree,YES,YES
AHS2015,ARTAWARE,ARTAWARE,C,2,Disagree,YES,YES
AHS2015,ARTAWARE,ARTAWARE,C,M,Not reported,YES,YES
AHS2015,ARTAWARE,ARTAWARE,C,N,Not applicable,YES,YES
AHS2015,ARTECON,ARTECON,C,1,Agree,YES,YES
AHS2015,ARTECON,ARTECON,C,2,Disagree,YES,YES
AHS2015,ARTECON,ARTECON,C,M,Not reported,YES,YES
AHS2015,ARTECON,ARTECON,C,N,Not applicable,YES,YES
AHS2015,ARTIDENT,ARTIDENT,C,1,Agree,YES,YES
AHS2015,ARTIDENT,ARTIDENT,C,2,Disagree,YES,YES
AHS2015,ARTIDENT,ARTIDENT,C,M,Not reported,YES,YES
AHS2015,ARTIDENT,ARTIDENT,C,N,Not applicable,YES,YES
AHS2015,ARTIMPROVE,ARTIMPROVE,C,1,Agree,YES,YES
AHS2015,ARTIMPROVE,ARTIMPROVE,C,2,Disagree,YES,YES
AHS2015,ARTIMPROVE,ARTIMPROVE,C,M,Not reported,YES,YES
AHS2015,ARTIMPROVE,ARTIMPROVE,C,N,Not applicable,YES,YES
AHS2015,ARTJOBS,ARTJOBS,C,1,Agree,YES,YES
AHS2015,ARTJOBS,ARTJOBS,C,2,Disagree,YES,YES
AHS2015,ARTJOBS,ARTJOBS,C,M,Not reported,YES,YES
AHS2015,ARTJOBS,ARTJOBS,C,N,Not applicable,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,1,Very important,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,2,Important,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,3,Not important,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,M,Not reported,YES,YES
AHS2015,ARTNEARBY,ARTNEARBY,C,N,Not applicable,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,1,Very satisfied,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,2,Satisfied,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,3,Not satisfied,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,M,Not reported,YES,YES
AHS2015,ARTSATIS,ARTSATIS,C,N,Not applicable,YES,YES
AHS2015,ARTSOC,ARTSOC,C,1,Agree,YES,YES
AHS2015,ARTSOC,ARTSOC,C,2,Disagree,YES,YES
AHS2015,ARTSOC,ARTSOC,C,M,Not reported,YES,YES
AHS2015,ARTSOC,ARTSOC,C,N,Not applicable,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,1,Yes,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,2,No,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,3,Never,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,M,Not reported,YES,YES
AHS2015,ASTH1MED,ASTHMED,C,N,Not applicable,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,1,Yes,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,2,No,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,3,Never,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,M,Not reported,YES,YES
AHS2015,ASTH2MED,ASTHMED,C,N,Not applicable,YES,YES
AHS2015,ASTHEMR,ASTHEMR,C,1,Yes,YES,YES
AHS2015,ASTHEMR,ASTHEMR,C,2,No,YES,YES
AHS2015,ASTHEMR,ASTHEMR,C,M,Not reported,YES,YES
AHS2015,ASTHEMR,ASTHEMR,C,N,Not applicable,YES,YES
AHS2015,ASTHMA,ASTHMA,C,1,Yes,YES,YES
AHS2015,ASTHMA,ASTHMA,C,2,No,YES,YES
AHS2015,ASTHMA,ASTHMA,C,M,Not reported,YES,YES
AHS2015,ASTHMA,ASTHMA,C,N,Not applicable,YES,YES
AHS2015,BATHEXCLU,BATHEXCLU,C,1,Bathroom is outside unit but inside building,YES,YES
AHS2015,BATHEXCLU,BATHEXCLU,C,2,Bathroom is outside building,YES,YES
AHS2015,BATHEXCLU,BATHEXCLU,C,M,Not reported,YES,YES
AHS2015,BATHEXCLU,BATHEXCLU,C,N,Not applicable,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,1,One full bathroom,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,2,1.5 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,3,2 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,4,2.5 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,5,3 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,6,More than 3 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,7,No full bath: sink and tub present,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,8,No full bath: sink and toilet present,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,9,No full bath: tub and toilet present,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,10,No full bath: sink only,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,11,No full bath: tub only,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,12,No full bath: toilet only,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,13,"No full bath: no sink, tub or toilet",YES,YES
AHS2015,BEDROOMS,BEDROOMS,N,10,10 or more,YES,YES
AHS2015,BLD,BLD,C,1,Mobile home or trailer,YES,YES
AHS2015,BLD,BLD,C,2,"One-family house, detached",YES,YES
AHS2015,BLD,BLD,C,3,"One-family house, attached",YES,YES
AHS2015,BLD,BLD,C,4,2 apartments,YES,YES
AHS2015,BLD,BLD,C,5,3 to 4 apartments,YES,YES
AHS2015,BLD,BLD,C,6,5 to 9 apartments,YES,YES
AHS2015,BLD,BLD,C,7,10 to 19 apartments,YES,YES
AHS2015,BLD,BLD,C,8,20 to 49 apartments,YES,YES
AHS2015,BLD,BLD,C,9,50 or more apartments,YES,YES
AHS2015,BLD,BLD,C,10,"Boat, RV, van, etc.",YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,1,All,YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,2,Some,YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,3,None,YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,M,Not reported,YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,N,Not applicable,YES,YES
AHS2015,CITSHP1,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP1,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP1,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP1,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP1,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP1,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP1,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP10,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP10,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP10,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP10,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP10,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP10,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP10,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP11,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP11,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP11,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP11,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP11,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP11,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP11,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP12,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP12,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP12,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP12,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP12,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP12,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP12,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP13,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP13,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP13,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP13,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP13,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP13,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP13,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP14,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP14,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP14,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP14,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP14,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP14,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP14,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP15,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP15,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP15,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP15,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP15,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP15,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP15,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP16,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP16,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP16,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP16,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP16,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP16,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP16,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP2,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP2,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP2,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP2,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP2,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP2,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP2,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP3,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP3,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP3,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP3,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP3,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP3,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP3,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP4,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP4,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP4,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP4,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP4,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP4,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP4,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP5,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP5,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP5,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP5,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP5,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP5,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP5,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP6,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP6,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP6,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP6,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP6,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP6,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP6,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP7,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP7,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP7,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP7,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP7,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP7,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP7,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP8,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP8,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP8,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP8,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP8,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP8,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP8,CITSHP,C,N,Not applicable,YES,YES
AHS2015,CITSHP9,CITSHP,C,1,"Native, born in U.S.",YES,YES
AHS2015,CITSHP9,CITSHP,C,2,"Native, born in Puerto Rico or U.S. outlying area",YES,YES
AHS2015,CITSHP9,CITSHP,C,3,Native born abroad of U.S. parent(s),YES,YES
AHS2015,CITSHP9,CITSHP,C,4,"Foreign born, U.S. citizen by naturalization",YES,YES
AHS2015,CITSHP9,CITSHP,C,5,"Foreign born, not a U.S. citizen",YES,YES
AHS2015,CITSHP9,CITSHP,C,M,Not reported,YES,YES
AHS2015,CITSHP9,CITSHP,C,N,Not applicable,YES,YES
AHS2015,COLD,COLD,C,1,Yes,YES,YES
AHS2015,COLD,COLD,C,2,No,YES,YES
AHS2015,COLD,COLD,C,3,Household did not live in the unit last winter,YES,YES
AHS2015,COLD,COLD,C,M,Not reported,YES,YES
AHS2015,COLD,COLD,C,N,Not applicable,YES,YES
AHS2015,COLDCOST,COLDCOST,C,1,Yes,YES,YES
AHS2015,COLDCOST,COLDCOST,C,2,No,YES,YES
AHS2015,COLDCOST,COLDCOST,C,M,Not reported,YES,YES
AHS2015,COLDCOST,COLDCOST,C,N,Not applicable,YES,YES
AHS2015,COLDEQ,COLDEQ,C,1,Yes,YES,YES
AHS2015,COLDEQ,COLDEQ,C,2,No,YES,YES
AHS2015,COLDEQ,COLDEQ,C,M,Not reported,YES,YES
AHS2015,COLDEQ,COLDEQ,C,N,Not applicable,YES,YES
AHS2015,COLDEQFREQ,COLDEQFREQ,N,0,Never broke down for 6 hours,YES,YES
AHS2015,COLDEQFREQ,COLDEQFREQ,N,8,8 or more breakdowns lasting 6 hours or more,YES,YES
AHS2015,COLDEQFREQ,COLDEQFREQ,N,.M,Not reported,YES,YES
AHS2015,COLDEQFREQ,COLDEQFREQ,N,.N,Not applicable,YES,YES
AHS2015,COLDHTCAP,COLDHTCAP,C,1,Yes,YES,YES
AHS2015,COLDHTCAP,COLDHTCAP,C,2,No,YES,YES
AHS2015,COLDHTCAP,COLDHTCAP,C,M,Not reported,YES,YES
AHS2015,COLDHTCAP,COLDHTCAP,C,N,Not applicable,YES,YES
AHS2015,COLDINSUL,COLDINSUL,C,1,Yes,YES,YES
AHS2015,COLDINSUL,COLDINSUL,C,2,No,YES,YES
AHS2015,COLDINSUL,COLDINSUL,C,M,Not reported,YES,YES
AHS2015,COLDINSUL,COLDINSUL,C,N,Not applicable,YES,YES
AHS2015,COLDOTHER,COLDOTHER,C,1,Yes,YES,YES
AHS2015,COLDOTHER,COLDOTHER,C,2,No,YES,YES
AHS2015,COLDOTHER,COLDOTHER,C,M,Not reported,YES,YES
AHS2015,COLDOTHER,COLDOTHER,C,N,Not applicable,YES,YES
AHS2015,COLDUTIL,COLDUTIL,C,1,Yes,YES,YES
AHS2015,COLDUTIL,COLDUTIL,C,2,No,YES,YES
AHS2015,COLDUTIL,COLDUTIL,C,M,Not reported,YES,YES
AHS2015,COLDUTIL,COLDUTIL,C,N,Not applicable,YES,YES
AHS2015,CONDO,CONDO,C,1,Yes,YES,YES
AHS2015,CONDO,CONDO,C,2,No,YES,YES
AHS2015,CONDO,CONDO,C,N,Not applicable,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,1,Electric,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,2,Piped gas,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,3,Liquefied petroleum gas,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,4,Other,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,5,None,YES,YES
AHS2015,COOKTYPE,COOKTYPE,C,1,"Cooking stove or range with oven, in working order",YES,YES
AHS2015,COOKTYPE,COOKTYPE,C,2,"Built-in cooking burners, no oven in working order",YES,YES
AHS2015,COOKTYPE,COOKTYPE,C,3,"Has microwave, but no oven or burners",YES,YES
AHS2015,COOKTYPE,COOKTYPE,C,4,No working cooking equipment,YES,YES
AHS2015,CROPSL,CROPSL,C,1,Yes,YES,YES
AHS2015,CROPSL,CROPSL,C,2,No,YES,YES
AHS2015,CROPSL,CROPSL,C,M,Not reported,YES,YES
AHS2015,CROPSL,CROPSL,C,N,Not applicable,YES,YES
AHS2015,DINING,DINING,N,5,5 or more,YES,YES
AHS2015,DISHH,DISHH,C,1,At least 1 disabled person in unit,YES,YES
AHS2015,DISHH,DISHH,C,2,No disabled persons in unit,YES,YES
AHS2015,DISHH,DISHH,C,M,Not reported,YES,YES
AHS2015,DISHH,DISHH,C,N,Not applicable,YES,YES
AHS2015,DISHWASH,DISHWASH,C,1,Yes,YES,YES
AHS2015,DISHWASH,DISHWASH,C,2,No,YES,YES
AHS2015,DIVISION,DIVISION,C,1,New England,YES,YES
AHS2015,DIVISION,DIVISION,C,2,Middle Atlantic,YES,YES
AHS2015,DIVISION,DIVISION,C,3,East North Central,YES,YES
AHS2015,DIVISION,DIVISION,C,4,West North Central,YES,YES
AHS2015,DIVISION,DIVISION,C,5,South Atlantic,YES,YES
AHS2015,DIVISION,DIVISION,C,6,East South Central,YES,YES
AHS2015,DIVISION,DIVISION,C,7,West South Central,YES,YES
AHS2015,DIVISION,DIVISION,C,8,Mountain,YES,YES
AHS2015,DIVISION,DIVISION,C,9,Pacific,YES,YES
AHS2015,DRYER,DRYER,C,1,Working electric power clothes dryer,YES,YES
AHS2015,DRYER,DRYER,C,2,Working piped gas powered clothes dryer,YES,YES
AHS2015,DRYER,DRYER,C,3,Working liquefied petroleum gas clothes dryer,YES,YES
AHS2015,DRYER,DRYER,C,4,Working other fuel source powered clothes dryer,YES,YES
AHS2015,DRYER,DRYER,C,5,Unit does not have a working clothes dryer,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,0,No down payment,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,1,Greater than zero to 2 percent,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,2,3 to 5 percent,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,3,6 to 10 percent,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,4,11 to 15 percent,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,5,16 to 20 percent,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,6,21 to 40 percent,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,7,41 to 99 percent,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,8,100 percent,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,M,Not reported,YES,YES
AHS2015,DWNPAYPCT,DWNPAYPCT,C,N,Not applicable,YES,YES
AHS2015,ELECAMT,ELECAMT,N,0,Unit does not use electricity,YES,YES
AHS2015,ELECAMT,ELECAMT,N,1,Vacant home: billed separately,YES,YES
AHS2015,ELECAMT,ELECAMT,N,2,"Occupied or vacant home: included in the rent, site rent, condominium fee, other fee, or other utility bill",YES,YES
AHS2015,ELECAMT,ELECAMT,N,3,Occupied home: provided free of charge,YES,YES
AHS2015,ELECAMT,ELECAMT,N,833,$833 or more,YES,YES
AHS2015,ELECAMT,ELECAMT,N,.N,Not applicable,YES,YES
AHS2015,ENTRYSYS,ENTRYSYS,C,1,Yes,YES,YES
AHS2015,ENTRYSYS,ENTRYSYS,C,2,No,YES,YES
AHS2015,ENTRYSYS,ENTRYSYS,C,M,Not reported,YES,YES
AHS2015,ENTRYSYS,ENTRYSYS,C,N,Not applicable,YES,YES
AHS2015,EXTCORD,EXTCORD,C,1,Uses cracked or worn extension cords,YES,YES
AHS2015,EXTCORD,EXTCORD,C,2,"Uses extension cords, but not cracked or worn",YES,YES
AHS2015,EXTCORD,EXTCORD,C,3,Does not use extension cords,YES,YES
AHS2015,EXTCORD,EXTCORD,C,M,Not reported,YES,YES
AHS2015,EXTCORD,EXTCORD,C,N,Not applicable,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,0,Not a family,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,1,Primary subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,2,1st subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,3,2nd subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,4,3rd subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,5,4th subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,6,5th subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,7,6th subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,8,7th subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,9,8th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,0,Not a family,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,1,Primary subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,2,1st subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,3,2nd subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,4,3rd subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,5,4th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,6,5th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,7,6th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,8,7th subfamily,YES,YES
