Table,NAME,FMTName,Type,Value,Label,Flat,
AHS2013N,ADJFIX2,ADJFIX,C,R,Refused,YES,
AHS2013N,ADJFIX3,ADJFIX,C,,Not reported,YES,
AHS2013N,ADJFIX3,ADJFIX,C,1,One month,YES,
AHS2013N,ADJFIX3,ADJFIX,C,2,"More than one, up to six months",YES,
AHS2013N,ADJFIX3,ADJFIX,C,3,"More than six months, but less than one year",YES,
AHS2013N,ADJFIX3,ADJFIX,C,4,One year,YES,
AHS2013N,ADJFIX3,ADJFIX,C,5,Two years,YES,
AHS2013N,ADJFIX3,ADJFIX,C,6,Three years,YES,
AHS2013N,ADJFIX3,ADJFIX,C,7,More than three years,YES,
AHS2013N,ADJFIX3,ADJFIX,C,B,Not applicable,YES,
AHS2013N,ADJFIX3,ADJFIX,C,D,Don't know,YES,
AHS2013N,ADJFIX3,ADJFIX,C,R,Refused,YES,
AHS2013N,ADJPM,ADJPM,C,1,Yes,YES,
AHS2013N,ADJPM,ADJPM,C,2,No,YES,
AHS2013N,ADJPM,ADJPM,C,B,Not applicable,YES,
AHS2013N,ADJPM,ADJPM,C,D,Don't know,YES,
AHS2013N,ADJPM,ADJPM,C,R,Refused,YES,
AHS2013N,ADJPM2,ADJPM,C,1,Yes,YES,
AHS2013N,ADJPM2,ADJPM,C,2,No,YES,
AHS2013N,ADJPM2,ADJPM,C,B,Not applicable,YES,
AHS2013N,ADJPM2,ADJPM,C,D,Don't know,YES,
AHS2013N,ADJPM2,ADJPM,C,R,Refused,YES,
AHS2013N,ADJPM3,ADJPM,C,1,Yes,YES,
AHS2013N,ADJPM3,ADJPM,C,2,No,YES,
AHS2013N,ADJPM3,ADJPM,C,B,Not applicable,YES,
AHS2013N,ADJPM3,ADJPM,C,D,Don't know,YES,
AHS2013N,ADJPM3,ADJPM,C,R,Refused,YES,
AHS2013N,ADJRTF,ADJRTF,C,,Not reported,YES,
AHS2013N,ADJRTF,ADJRTF,C,1,More frequently than monthly,YES,
AHS2013N,ADJRTF,ADJRTF,C,2,Monthly,YES,
AHS2013N,ADJRTF,ADJRTF,C,3,Quarterly,YES,
AHS2013N,ADJRTF,ADJRTF,C,4,"Twice per year, every six months",YES,
AHS2013N,ADJRTF,ADJRTF,C,5,Yearly,YES,
AHS2013N,ADJRTF,ADJRTF,C,6,A longer period than yearly,YES,
AHS2013N,ADJRTF,ADJRTF,C,B,Not applicable,YES,
AHS2013N,ADJRTF,ADJRTF,C,D,Don't know,YES,
AHS2013N,ADJRTF,ADJRTF,C,R,Refused,YES,
AHS2013N,ADJRTF2,ADJRTF,C,,Not reported,YES,
AHS2013N,ADJRTF2,ADJRTF,C,1,More frequently than monthly,YES,
AHS2013N,ADJRTF2,ADJRTF,C,2,Monthly,YES,
AHS2013N,ADJRTF2,ADJRTF,C,3,Quarterly,YES,
AHS2013N,ADJRTF2,ADJRTF,C,4,"Twice per year, every six months",YES,
AHS2013N,ADJRTF2,ADJRTF,C,5,Yearly,YES,
AHS2013N,ADJRTF2,ADJRTF,C,6,A longer period than yearly,YES,
AHS2013N,ADJRTF2,ADJRTF,C,B,Not applicable,YES,
AHS2013N,ADJRTF2,ADJRTF,C,D,Don't know,YES,
AHS2013N,ADJRTF2,ADJRTF,C,R,Refused,YES,
AHS2013N,ADJRTF3,ADJRTF,C,,Not reported,YES,
AHS2013N,ADJRTF3,ADJRTF,C,1,More frequently than monthly,YES,
AHS2013N,ADJRTF3,ADJRTF,C,2,Monthly,YES,
AHS2013N,ADJRTF3,ADJRTF,C,3,Quarterly,YES,
AHS2013N,ADJRTF3,ADJRTF,C,4,"Twice per year, every six months",YES,
AHS2013N,ADJRTF3,ADJRTF,C,5,Yearly,YES,
AHS2013N,ADJRTF3,ADJRTF,C,6,A longer period than yearly,YES,
AHS2013N,ADJRTF3,ADJRTF,C,B,Not applicable,YES,
AHS2013N,ADJRTF3,ADJRTF,C,D,Don't know,YES,
AHS2013N,ADJRTF3,ADJRTF,C,R,Refused,YES,
AHS2013N,AFUEL,AFUEL,C,1,Electricity,YES,
AHS2013N,AFUEL,AFUEL,C,2,"Gas, LP gas (liquid propane)",YES,
AHS2013N,AFUEL,AFUEL,C,3,Other,YES,
AHS2013N,AFUEL,AFUEL,C,B,Not applicable,YES,
AHS2013N,AFUR,AFUR,C,1,Yes,YES,
AHS2013N,AFUR,AFUR,C,2,No,YES,
AHS2013N,AFUR,AFUR,C,B,Not applicable,YES,
AHS2013N,AFUR,AFUR,C,D,Don't know,YES,
AHS2013N,AIR,AIR,C,1,Yes,YES,
AHS2013N,AIR,AIR,C,2,No,YES,
AHS2013N,AIRSYS,AIRSYS,C,1,Yes,YES,
AHS2013N,AIRSYS,AIRSYS,C,2,No,YES,
AHS2013N,ALMV,ALMV,C,1,Yes,YES,
AHS2013N,ALMV,ALMV,C,2,No,YES,
AHS2013N,ALMV,ALMV,C,B,Not applicable,YES,
AHS2013N,AMMORT,AMMORT,N,9999998,"$9,999,998 or more",YES,
AHS2013N,AMMORT,AMMORT,N,.B,Not applicable,YES,
AHS2013N,AMMORT,AMMORT,N,.D,Don't know,YES,
AHS2013N,AMMRT2,AMMRT,N,9999998,"$9,999,998 or more",YES,
AHS2013N,AMMRT2,AMMRT,N,.B,Not applicable,YES,
AHS2013N,AMMRT2,AMMRT,N,.D,Don't know,YES,
AHS2013N,AMMRT3,AMMRT,N,9999998,"$9,999,998 or more",YES,
AHS2013N,AMMRT3,AMMRT,N,.B,Not applicable,YES,
AHS2013N,AMMRT3,AMMRT,N,.D,Don't know,YES,
AHS2013N,AMRTZ,AMRTZ,N,.B,Not applicable,YES,
AHS2013N,AMRTZ,AMRTZ,N,.D,Don't know,YES,
AHS2013N,AMRTZ2,AMRTZ,N,.B,Not applicable,YES,
AHS2013N,AMRTZ2,AMRTZ,N,.D,Don't know,YES,
AHS2013N,AMRTZ3,AMRTZ,N,.B,Not applicable,YES,
AHS2013N,AMRTZ3,AMRTZ,N,.D,Don't know,YES,
AHS2013N,AMTE,AMTE,N,.B,Not applicable,YES,
AHS2013N,AMTF,AMTF,N,.B,Not applicable,YES,
AHS2013N,AMTG,AMTG,N,.B,Not applicable,YES,
AHS2013N,AMTI,AMTI,N,9998,"$9,998 or more",YES,
AHS2013N,AMTI,AMTI,N,.B,Not applicable,YES,
AHS2013N,AMTM,AMTM,N,.,Not reported,YES,
AHS2013N,AMTM,AMTM,N,9999998,"$9,999,998 or more",YES,
AHS2013N,AMTM,AMTM,N,.B,Not applicable,YES,
AHS2013N,AMTM,AMTM,N,.D,Don't know,YES,
AHS2013N,AMTM,AMTM,N,.R,Refused,YES,
AHS2013N,AMTM2,AMTM,N,.,Not reported,YES,
AHS2013N,AMTM2,AMTM,N,9999998,"$9,999,998 or more",YES,
AHS2013N,AMTM2,AMTM,N,.B,Not applicable,YES,
AHS2013N,AMTM2,AMTM,N,.D,Don't know,YES,
AHS2013N,AMTM2,AMTM,N,.R,Refused,YES,
AHS2013N,AMTO,AMTO,N,.B,Not applicable,YES,
AHS2013N,AMTT,AMTT,N,.B,Not applicable,YES,
AHS2013N,AMTW,AMTW,N,.B,Not applicable,YES,
AHS2013N,AMTX,AMTX,N,.,Not reported,YES,
AHS2013N,AMTX,AMTX,N,99950,"$99,900 to $99,999 or more",YES,
AHS2013N,AMTX,AMTX,N,.B,Not applicable,YES,
AHS2013N,ANCHOR,ANCHOR,C,,Not reported,YES,
AHS2013N,ANCHOR,ANCHOR,C,1,Yes,YES,
AHS2013N,ANCHOR,ANCHOR,C,2,No,YES,
AHS2013N,ANCHOR,ANCHOR,C,B,Not applicable,YES,
AHS2013N,ANCHOR,ANCHOR,C,D,Don't know,YES,
AHS2013N,ANCHOR,ANCHOR,C,R,Refused,YES,
AHS2013N,APPLY,APPLY,C,,Not reported,YES,
AHS2013N,APPLY,APPLY,C,1,Household assigned to specific unit,YES,
AHS2013N,APPLY,APPLY,C,2,Household allowed to choose living quarters,YES,
AHS2013N,APPLY,APPLY,C,B,Not applicable,YES,
AHS2013N,APPLY,APPLY,C,D,Don't know,YES,
AHS2013N,APPLY,APPLY,C,R,Refused,YES,
AHS2013N,APTAD,APTAD,C,,Not reported,YES,
AHS2013N,APTAD,APTAD,C,1,Yes,YES,
AHS2013N,APTAD,APTAD,C,2,No,YES,
AHS2013N,APTAD,APTAD,C,B,Not applicable,YES,
AHS2013N,APTAD,APTAD,C,D,Don't know,YES,
AHS2013N,APTCM,APTCM,C,,Not reported,YES,
AHS2013N,APTCM,APTCM,C,1,Yes,YES,
AHS2013N,APTCM,APTCM,C,2,No,YES,
AHS2013N,APTCM,APTCM,C,B,Not applicable,YES,
AHS2013N,APTCM,APTCM,C,D,Don't know,YES,
AHS2013N,APTCM,APTCM,C,R,Refused,YES,
AHS2013N,APTSP,APTSP,C,,Not reported,YES,
AHS2013N,APTSP,APTSP,C,1,Yes,YES,
AHS2013N,APTSP,APTSP,C,2,No,YES,
AHS2013N,APTSP,APTSP,C,B,Not applicable,YES,
AHS2013N,APTSP,APTSP,C,D,Don't know,YES,
AHS2013N,APTSP,APTSP,C,R,Refused,YES,
AHS2013N,ARM,ARM,C,,Not reported,YES,
AHS2013N,ARM,ARM,C,1,Yes,YES,
AHS2013N,ARM,ARM,C,2,No,YES,
AHS2013N,ARM,ARM,C,B,Not applicable,YES,
AHS2013N,ARM,ARM,C,D,Don't know,YES,
AHS2013N,ARM,ARM,C,R,Refused,YES,
AHS2013N,ARM2,ARM,C,,Not reported,YES,
AHS2013N,ARM2,ARM,C,1,Yes,YES,
AHS2013N,ARM2,ARM,C,2,No,YES,
AHS2013N,ARM2,ARM,C,B,Not applicable,YES,
AHS2013N,ARM2,ARM,C,D,Don't know,YES,
AHS2013N,ARM2,ARM,C,R,Refused,YES,
AHS2013N,ARM3,ARM,C,,Not reported,YES,
AHS2013N,ARM3,ARM,C,1,Yes,YES,
AHS2013N,ARM3,ARM,C,2,No,YES,
AHS2013N,ARM3,ARM,C,B,Not applicable,YES,
AHS2013N,ARM3,ARM,C,D,Don't know,YES,
AHS2013N,ARM3,ARM,C,R,Refused,YES,
AHS2013N,BALAMT,BALAMT,N,9999998,"$9,999,998 or more",YES,
AHS2013N,BALAMT,BALAMT,N,.B,Not applicable,YES,
AHS2013N,BALAMT,BALAMT,N,.D,Don't know,YES,
AHS2013N,BALAMT,BALAMT,N,.R,Refused,YES,
AHS2013N,BALAMT2,BALAMT,N,9999998,"$9,999,998 or more",YES,
AHS2013N,BALAMT2,BALAMT,N,.B,Not applicable,YES,
AHS2013N,BALAMT2,BALAMT,N,.D,Don't know,YES,
AHS2013N,BALAMT2,BALAMT,N,.R,Refused,YES,
AHS2013N,BANK,BANK,C,,Not reported,YES,
AHS2013N,BANK,BANK,C,1,Bank or organization,YES,
AHS2013N,BANK,BANK,C,2,Individual,YES,
AHS2013N,BANK,BANK,C,B,Not applicable,YES,
AHS2013N,BANK,BANK,C,D,Don't know,YES,
AHS2013N,BANK,BANK,C,R,Refused,YES,
AHS2013N,BANK2,BANK,C,,Not reported,YES,
AHS2013N,BANK2,BANK,C,1,Bank or organization,YES,
AHS2013N,BANK2,BANK,C,2,Individual,YES,
AHS2013N,BANK2,BANK,C,B,Not applicable,YES,
AHS2013N,BANK2,BANK,C,D,Don't know,YES,
AHS2013N,BANK2,BANK,C,R,Refused,YES,
AHS2013N,BANK3,BANK,C,,Not reported,YES,
AHS2013N,BANK3,BANK,C,1,Bank or organization,YES,
AHS2013N,BANK3,BANK,C,2,Individual,YES,
AHS2013N,BANK3,BANK,C,B,Not applicable,YES,
AHS2013N,BANK3,BANK,C,D,Don't know,YES,
AHS2013N,BANK3,BANK,C,R,Refused,YES,
AHS2013N,BIGP,BIGP,C,1,Yes,YES,
AHS2013N,BIGP,BIGP,C,2,No,YES,
AHS2013N,BILLE,BILLE,C,1,Billed separately,YES,
AHS2013N,BILLE,BILLE,C,2,Bill with other utilities,YES,
AHS2013N,BILLE,BILLE,C,B,Not applicable,YES,
AHS2013N,BILLF,BILLF,C,1,Billed separately,YES,
AHS2013N,BILLF,BILLF,C,2,Billed with other utilities,YES,
AHS2013N,BILLF,BILLF,C,B,Not applicable,YES,
AHS2013N,BILLG,BILLG,C,1,Billed separately,YES,
AHS2013N,BILLG,BILLG,C,2,Billed with other utilities,YES,
AHS2013N,BILLG,BILLG,C,B,Not applicable,YES,
AHS2013N,BILLO,BILLO,C,1,Billed separately,YES,
AHS2013N,BILLO,BILLO,C,2,Billed with other utilities,YES,
AHS2013N,BILLO,BILLO,C,B,Not applicable,YES,
AHS2013N,BILLT,BILLT,C,1,Billed separately,YES,
AHS2013N,BILLT,BILLT,C,2,Billed with other utilities,YES,
AHS2013N,BILLT,BILLT,C,B,Not applicable,YES,
AHS2013N,BILLW,BILLW,C,1,Billed separately,YES,
AHS2013N,BILLW,BILLW,C,2,Bill with other utilities,YES,
AHS2013N,BILLW,BILLW,C,B,Not applicable,YES,
AHS2013N,BLDMNT,BLDMNT,C,,Not reported,YES,
AHS2013N,BLDMNT,BLDMNT,C,1,Completely satisfied,YES,
AHS2013N,BLDMNT,BLDMNT,C,2,Partly satisfied,YES,
AHS2013N,BLDMNT,BLDMNT,C,3,Dissatisfied,YES,
AHS2013N,BLDMNT,BLDMNT,C,4,Landlord not responsible for building maintenance,YES,
AHS2013N,BLDMNT,BLDMNT,C,B,Not applicable,YES,
AHS2013N,BLDMNT,BLDMNT,C,D,Don't know,YES,
AHS2013N,BLDMNT,BLDMNT,C,R,Refused,YES,
AHS2013N,BLEAK,BLEAK,C,1,Yes,YES,
AHS2013N,BLEAK,BLEAK,C,2,No,YES,
AHS2013N,BLEAK,BLEAK,C,B,Not applicable,YES,
AHS2013N,BLEAK,BLEAK,C,D,Don't know,YES,
AHS2013N,BLEAK,BLEAK,C,R,Refused,YES,
AHS2013N,BLOON,BLOON,C,,Not reported,YES,
AHS2013N,BLOON,BLOON,C,1,Yes,YES,
AHS2013N,BLOON,BLOON,C,2,No,YES,
AHS2013N,BLOON,BLOON,C,B,Not applicable,YES,
AHS2013N,BLOON,BLOON,C,D,Don't know,YES,
AHS2013N,BLOON,BLOON,C,R,Refused,YES,
AHS2013N,BLOON2,BLOON,C,,Not reported,YES,
AHS2013N,BLOON2,BLOON,C,1,Yes,YES,
AHS2013N,BLOON2,BLOON,C,2,No,YES,
AHS2013N,BLOON2,BLOON,C,B,Not applicable,YES,
AHS2013N,BLOON2,BLOON,C,D,Don't know,YES,
AHS2013N,BLOON2,BLOON,C,R,Refused,YES,
AHS2013N,BLOON3,BLOON,C,,Not reported,YES,
AHS2013N,BLOON3,BLOON,C,1,Yes,YES,
AHS2013N,BLOON3,BLOON,C,2,No,YES,
AHS2013N,BLOON3,BLOON,C,B,Not applicable,YES,
AHS2013N,BLOON3,BLOON,C,D,Don't know,YES,
AHS2013N,BLOON3,BLOON,C,R,Refused,YES,
AHS2013N,BSINK,BSINK,C,1,Yes,YES,
AHS2013N,BSINK,BSINK,C,2,No,YES,
AHS2013N,BUILT,BUILT,N,1919,1919 or earlier,YES,
AHS2013N,BUILT,BUILT,N,1920,1920 to 1929,YES,
AHS2013N,BUILT,BUILT,N,1930,1930 to 1939,YES,
AHS2013N,BUILT,BUILT,N,1940,1940 to 1949,YES,
AHS2013N,BUILT,BUILT,N,1950,1950 to 1959,YES,
AHS2013N,BUILT,BUILT,N,1960,1960 to 1969,YES,
AHS2013N,BUILT,BUILT,N,1970,1970 to 1974,YES,
AHS2013N,BUILT,BUILT,N,1975,1975 to 1979,YES,
AHS2013N,BUILT,BUILT,N,1980,1980 to 1984,YES,
AHS2013N,BUILT,BUILT,N,1985,1985 to 1989,YES,
AHS2013N,BUILT,BUILT,N,1990,1990 to 1994,YES,
AHS2013N,BUILT,BUILT,N,1995,1995 to 1999,YES,
AHS2013N,BURNER,BURNER,C,1,Yes,YES,
AHS2013N,BURNER,BURNER,C,2,No,YES,
AHS2013N,BURNER,BURNER,C,B,Not applicable,YES,
AHS2013N,BUSPER,BUSPER,N,.,Not reported,YES,
AHS2013N,BUSPER,BUSPER,N,0,None,YES,
AHS2013N,BUSPER,BUSPER,N,10,10 or more,YES,
AHS2013N,BUSPER,BUSPER,N,.B,Not applicable,YES,
AHS2013N,BUSPER,BUSPER,N,.D,Don't know,YES,
AHS2013N,BUSPER,BUSPER,N,.R,Refused,YES,
AHS2013N,BUYE,BUYE,C,1,Not used,YES,
AHS2013N,BUYE,BUYE,C,2,"Included in rent, condominium fee, or other fee",YES,
AHS2013N,BUYE,BUYE,C,3,Obtained free,YES,
AHS2013N,BUYE,BUYE,C,B,Not applicable,YES,
AHS2013N,BUYE2,BUYE,C,1,Not used,YES,
AHS2013N,BUYE2,BUYE,C,2,"Included in rent, condominium fee, or other fee",YES,
AHS2013N,BUYE2,BUYE,C,3,Obtained free,YES,
AHS2013N,BUYE2,BUYE,C,B,Not applicable,YES,
AHS2013N,BUYF,BUYF,C,1,Not used,YES,
AHS2013N,BUYF,BUYF,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYF,BUYF,C,3,Obtained free,YES,
AHS2013N,BUYF,BUYF,C,B,Not applicable,YES,
AHS2013N,BUYF2,BUYF,C,1,Not used,YES,
AHS2013N,BUYF2,BUYF,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYF2,BUYF,C,3,Obtained free,YES,
AHS2013N,BUYF2,BUYF,C,B,Not applicable,YES,
AHS2013N,BUYG,BUYG,C,1,Not used,YES,
AHS2013N,BUYG,BUYG,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYG,BUYG,C,3,Obtained free,YES,
AHS2013N,BUYG,BUYG,C,B,Not applicable,YES,
AHS2013N,BUYG2,BUYG,C,1,Not used,YES,
AHS2013N,BUYG2,BUYG,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYG2,BUYG,C,3,Obtained free,YES,
AHS2013N,BUYG2,BUYG,C,B,Not applicable,YES,
AHS2013N,BUYI,BUYI,C,1,Yes,YES,
AHS2013N,BUYI,BUYI,C,2,No,YES,
AHS2013N,BUYI,BUYI,C,B,Not applicable,YES,
AHS2013N,BUYO,BUYO,C,1,Not used,YES,
AHS2013N,BUYO,BUYO,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYO,BUYO,C,3,Obtained free,YES,
AHS2013N,BUYO,BUYO,C,B,Not applicable,YES,
AHS2013N,BUYO2,BUYO,C,1,Not used,YES,
AHS2013N,BUYO2,BUYO,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYO2,BUYO,C,3,Obtained free,YES,
AHS2013N,BUYO2,BUYO,C,B,Not applicable,YES,
AHS2013N,BUYT,BUYT,C,1,Not used,YES,
AHS2013N,BUYT,BUYT,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYT,BUYT,C,3,Obtained free,YES,
AHS2013N,BUYT,BUYT,C,B,Not applicable,YES,
AHS2013N,BUYT2,BUYT,C,1,Not used,YES,
AHS2013N,BUYT2,BUYT,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYT2,BUYT,C,3,Obtained free,YES,
AHS2013N,BUYT2,BUYT,C,B,Not applicable,YES,
AHS2013N,BUYW,BUYW,C,1,Yes,YES,
AHS2013N,BUYW,BUYW,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYW,BUYW,C,3,Obtained free,YES,
AHS2013N,BUYW,BUYW,C,B,Not applicable,YES,
AHS2013N,BUYW2,BUYW,C,1,Yes,YES,
AHS2013N,BUYW2,BUYW,C,2,"Included in rent, condominium fee or other fee",YES,
AHS2013N,BUYW2,BUYW,C,3,Obtained free,YES,
AHS2013N,BUYW2,BUYW,C,B,Not applicable,YES,
AHS2013N,CAMF,CAMF,N,.,Not reported,YES,
AHS2013N,CAMF,CAMF,N,53,53 or more times per year,YES,
AHS2013N,CAMF,CAMF,N,.B,Not applicable,YES,
AHS2013N,CAMF,CAMF,N,.D,Don't know,YES,
AHS2013N,CAMF,CAMF,N,.R,Refused,YES,
AHS2013N,CANVAR,CANVAR,C,1,Yes,YES,
AHS2013N,CANVAR,CANVAR,C,2,No,YES,
AHS2013N,CANVAR,CANVAR,C,B,Not applicable,YES,
AHS2013N,CANVR2,CANVR,C,1,Yes,YES,
AHS2013N,CANVR2,CANVR,C,2,No,YES,
AHS2013N,CANVR2,CANVR,C,B,Not applicable,YES,
AHS2013N,CANVR3,CANVR,C,1,Yes,YES,
AHS2013N,CANVR3,CANVR,C,2,No,YES,
AHS2013N,CANVR3,CANVR,C,B,Not applicable,YES,
AHS2013N,CARS,CARS,C,0,None,YES,
AHS2013N,CARS,CARS,C,1,1,YES,
AHS2013N,CARS,CARS,C,2,2,YES,
AHS2013N,CARS,CARS,C,3,3,YES,
AHS2013N,CARS,CARS,C,4,4,YES,
AHS2013N,CARS,CARS,C,5,5 or more,YES,
AHS2013N,CARS,CARS,C,B,Not applicable,YES,
AHS2013N,CASH,CASH,N,999998,"$999,998 or more",YES,
AHS2013N,CASH,CASH,N,.B,Not applicable,YES,
AHS2013N,CASH,CASH,N,.D,Don't know,YES,
AHS2013N,CASH,CASH,N,.R,Refused,YES,
AHS2013N,CASH2,CASH,N,999998,"$999,998 or more",YES,
AHS2013N,CASH2,CASH,N,.B,Not applicable,YES,
AHS2013N,CASH2,CASH,N,.D,Don't know,YES,
AHS2013N,CASH2,CASH,N,.R,Refused,YES,
AHS2013N,CEFCLOSKNIT,CEFCLOSKNIT,C,1,Strongly agree,YES,
AHS2013N,CEFCLOSKNIT,CEFCLOSKNIT,C,2,Somewhat agree,YES,
AHS2013N,CEFCLOSKNIT,CEFCLOSKNIT,C,3,Somewhat disagree,YES,
AHS2013N,CEFCLOSKNIT,CEFCLOSKNIT,C,4,Strongly disagree,YES,
AHS2013N,CEFCLOSKNIT,CEFCLOSKNIT,C,B,Not applicable,YES,
AHS2013N,CEFCLOSKNIT,CEFCLOSKNIT,C,D,Don't know,YES,
AHS2013N,CEFCLOSKNIT,CEFCLOSKNIT,C,R,Refused,YES,
AHS2013N,CEFDISRSPCT,CEFDISRSPCT,C,1,Very likely,YES,
AHS2013N,CEFDISRSPCT,CEFDISRSPCT,C,2,Likely,YES,
AHS2013N,CEFDISRSPCT,CEFDISRSPCT,C,3,Unlikely,YES,
AHS2013N,CEFDISRSPCT,CEFDISRSPCT,C,4,Very unlikely,YES,
AHS2013N,CEFDISRSPCT,CEFDISRSPCT,C,B,Not applicable,YES,
AHS2013N,CEFDISRSPCT,CEFDISRSPCT,C,D,Don't know,YES,
AHS2013N,CEFDISRSPCT,CEFDISRSPCT,C,R,Refused,YES,
AHS2013N,CEFFIGHTING,CEFFIGHTING,C,1,Very likely,YES,
AHS2013N,CEFFIGHTING,CEFFIGHTING,C,2,Likely,YES,
AHS2013N,CEFFIGHTING,CEFFIGHTING,C,3,Unlikely,YES,
AHS2013N,CEFFIGHTING,CEFFIGHTING,C,4,Very unlikely,YES,
AHS2013N,CEFFIGHTING,CEFFIGHTING,C,B,Not applicable,YES,
AHS2013N,CEFFIGHTING,CEFFIGHTING,C,D,Don't know,YES,
AHS2013N,CEFFIGHTING,CEFFIGHTING,C,R,Refused,YES,
AHS2013N,CEFFIRESTA,CEFFIRESTA,C,1,Very likely,YES,
AHS2013N,CEFFIRESTA,CEFFIRESTA,C,2,Likely,YES,
AHS2013N,CEFFIRESTA,CEFFIRESTA,C,3,Unlikely,YES,
AHS2013N,CEFFIRESTA,CEFFIRESTA,C,4,Very unlikely,YES,
AHS2013N,CEFFIRESTA,CEFFIRESTA,C,B,Not applicable,YES,
AHS2013N,CEFFIRESTA,CEFFIRESTA,C,D,Don't know,YES,
AHS2013N,CEFFIRESTA,CEFFIRESTA,C,R,Refused,YES,
AHS2013N,CEFGETALONG,CEFGETALONG,C,1,Strongly agree,YES,
AHS2013N,CEFGETALONG,CEFGETALONG,C,2,Somewhat agree,YES,
AHS2013N,CEFGETALONG,CEFGETALONG,C,3,Somewhat disagree,YES,
AHS2013N,CEFGETALONG,CEFGETALONG,C,4,Strongly disagree,YES,
AHS2013N,CEFGETALONG,CEFGETALONG,C,B,Not applicable,YES,
AHS2013N,CEFGETALONG,CEFGETALONG,C,D,Don't know,YES,
AHS2013N,CEFGETALONG,CEFGETALONG,C,R,Refused,YES,
AHS2013N,CEFGPBLOCK,CEFGPBLOCK,C,1,Yes,YES,
